Human Marker Symbol,Human Entrez Gene ID,Mouse Marker Symbol,MGI Marker Accession ID
TMEM86A,144110,Tmem86a,  MGI:1915143
TMEM86B,255043,Tmem86b,  MGI:1915505
TMEM87A,25963,Tmem87a,  MGI:2441844
TMEM87B,84910,Tmem87b,  MGI:1919727
TMEM88,92162,Tmem88,  MGI:1914270
TMEM88B,643965,Tmem88b,  MGI:2444329
TMEM89,440955,Tmem89,  MGI:1916634
TMEM8B,51754,Tmem8b,  MGI:2441680
TMEM9,252839,Tmem9,  MGI:1913491
TMEM91,641649,Tmem91,  MGI:2443589
TMEM92,162461,Tmem92,  MGI:3034723
TMEM94,9772,Tmem94,  MGI:1919197
TMEM95,339168,Tmem95,  MGI:3779488
TMEM97,27346,Tmem97,  MGI:1916321
TMEM98,26022,Tmem98,  MGI:1923457
TMEM9B,56674,Tmem9b,  MGI:1915254
TMF1,7110,Tmf1,  MGI:2684999
TMIE,259236,Tmie,  MGI:2159400
TMIGD1,388364,Tmigd1,  MGI:1913851
TMIGD3,57413,Tmigd3,  MGI:5604098
TMLHE,55217,Tmlhe,  MGI:2180203
TMOD1,7111,Tmod1,  MGI:98775
TMOD2,29767,Tmod2,  MGI:1355335
TMOD3,29766,Tmod3,  MGI:1355315
TMOD4,29765,Tmod4,  MGI:1355285
TMPO,7112,Tmpo,  MGI:106920
TMPPE,643853,Tmppe,  MGI:5317335
TMPRSS11A,339967,Tmprss11a,  MGI:2684853
TMPRSS11B,132724,Tmprss11b,  MGI:2442893
TMPRSS11CP,100381178,Tmprss11c,  MGI:3521861
TMPRSS11D,9407,Tmprss11d,  MGI:2385221
TMPRSS11E,28983,Tmprss11e,  MGI:3513175
TMPRSS11F,389208,Tmprss11f,  MGI:2442348
TMPRSS11GP,644759,Tmprss11g,  MGI:2444058
TMPRSS12,283471,Tmprss12,  MGI:1922252
TMPRSS13,84000,Tmprss13,  MGI:2682935
TMPRSS15,5651,Tmprss15,  MGI:1197523
TMPRSS2,7113,Tmprss2,  MGI:1354381
TMPRSS3,64699,Tmprss3,  MGI:2155445
TMPRSS4,56649,Tmprss4,  MGI:2384877
TMPRSS5,80975,Tmprss5,  MGI:1933407
TMPRSS6,164656,Tmprss6,  MGI:1919003
TMPRSS7,344805,Tmprss7,  MGI:2686594
TMPRSS9,360200,Tmprss9,  MGI:3612246
TMSB10,9168,Tmsb10,  MGI:109146
TMSB15A,11013,Tmsb15a,  MGI:1925728
TMSB15B,286527,Tmsb15b1,  MGI:3843059
TMSB15B,286527,Tmsb15b2,  MGI:3843061
TMSB4X,7114,Tmsb4x,  MGI:99510
TMTC1,83857,Tmtc1,  MGI:3039590
TMTC2,160335,Tmtc2,  MGI:1914057
TMTC3,160418,Tmtc3,  MGI:3036255
TMTC4,84899,Tmtc4,  MGI:1921050
TMUB1,83590,Tmub1,  MGI:1923764
TMUB2,79089,Tmub2,  MGI:1919303
TMX1,81542,Tmx1,  MGI:1919986
TMX2,51075,Tmx2,  MGI:1914208
TMX3,54495,Tmx3,  MGI:2442418
TMX4,56255,Tmx4,  MGI:106558
TNC,3371,Tnc,  MGI:101922
TNF,7124,Tnf,  MGI:104798
TNFAIP1,7126,Tnfaip1,  MGI:104961
TNFAIP2,7127,Tnfaip2,  MGI:104960
TNFAIP3,7128,Tnfaip3,  MGI:1196377
TNFAIP6,7130,Tnfaip6,  MGI:1195266
TNFAIP8,25816,Tnfaip8,  MGI:2147191
TNFAIP8L1,126282,Tnfaip8l1,  MGI:1913693
TNFAIP8L2,79626,Tnfaip8l2,  MGI:1917019
TNFAIP8L3,388121,Tnfaip8l3,  MGI:2685363
TNFRSF10A,8797,Tnfrsf10b,  MGI:1341090
TNFRSF10B,8795,Tnfrsf10b,  MGI:1341090
TNFRSF10C,8794,Tnfrsf10b,  MGI:1341090
TNFRSF10D,8793,Tnfrsf10b,  MGI:1341090
TNFRSF11A,8792,Tnfrsf11a,  MGI:1314891
TNFRSF11B,4982,Tnfrsf11b,  MGI:109587
TNFRSF12A,51330,Tnfrsf12a,  MGI:1351484
TNFRSF13B,23495,Tnfrsf13b,  MGI:1889411
TNFRSF13C,115650,Tnfrsf13c,  MGI:1919299
TNFRSF14,8764,Tnfrsf14,  MGI:2675303
TNFRSF17,608,Tnfrsf17,  MGI:1343050
TNFRSF18,8784,Tnfrsf18,  MGI:894675
TNFRSF19,55504,Tnfrsf19,  MGI:1352474
TNFRSF1A,7132,Tnfrsf1a,  MGI:1314884
TNFRSF1B,7133,Tnfrsf1b,  MGI:1314883
TNFRSF21,27242,Tnfrsf21,  MGI:2151075
TNFRSF25,8718,Tnfrsf25,  MGI:1934667
TNFRSF4,7293,Tnfrsf4,  MGI:104512
TNFRSF8,943,Tnfrsf8,  MGI:99908
TNFRSF9,3604,Tnfrsf9,  MGI:1101059
TNFSF10,8743,Tnfsf10,  MGI:107414
TNFSF11,8600,Tnfsf11,  MGI:1100089
TNFSF12,8742,Tnfsf12,  MGI:1196259
TNFSF12-TNFSF13,407977,Tnfsfm13,  MGI:3845075
TNFSF13,8741,Tnfsf13,  MGI:1916833
TNFSF13B,10673,Tnfsf13b,  MGI:1344376
TNFSF14,8740,Tnfsf14,  MGI:1355317
TNFSF15,9966,Tnfsf15,  MGI:2180140
TNFSF18,8995,Tnfsf18,  MGI:2673064
TNFSF4,7292,Tnfsf4,  MGI:104511
TNFSF8,944,Tnfsf8,  MGI:88328
TNFSF9,8744,Tnfsf9,  MGI:1101058
TNIK,23043,Tnik,  MGI:1916264
TNIP1,10318,Tnip1,  MGI:1926194
TNIP2,79155,Tnip2,  MGI:2386643
TNIP3,79931,Tnip3,  MGI:3041165
TNK1,8711,Tnk1,  MGI:1930958
TNK2,10188,Tnk2,  MGI:1858308
TNKS,8658,Tnks,  MGI:1341087
TNKS1BP1,85456,Tnks1bp1,  MGI:2446193
TNKS2,80351,Tnks2,  MGI:1921743
TNMD,64102,Tnmd,  MGI:1929885
TNN,63923,Tnn,  MGI:2665790
TNNC1,7134,Tnnc1,  MGI:98779
TNNC2,7125,Tnnc2,  MGI:98780
TNNI1,7135,Tnni1,  MGI:105073
TNNI2,7136,Tnni2,  MGI:105070
TNNI3,7137,Tnni3,  MGI:98783
TNNI3K,51086,Tnni3k,  MGI:2443276
TNNT1,7138,Tnnt1,  MGI:1333868
TNNT2,7139,Tnnt2,  MGI:104597
TNNT3,7140,Tnnt3,  MGI:109550
TNP1,7141,Tnp1,  MGI:98784
TNP2,7142,Tnp2,  MGI:98785
TNPO1,3842,Tnpo1,  MGI:2681523
TNPO2,30000,Tnpo2,  MGI:2384849
TNPO3,23534,Tnpo3,  MGI:1196412
TNR,7143,Tnr,  MGI:99516
TNRC18,84629,Tnrc18,  MGI:3648294
TNRC6A,27327,Tnrc6a,  MGI:2385292
TNRC6B,23112,Tnrc6b,  MGI:2443730
TNRC6C,57690,Tnrc6c,  MGI:2443265
TNS1,7145,Tns1,  MGI:104552
TNS2,23371,Tns2,  MGI:2387586
TNS3,64759,Tns3,  MGI:2443012
TNS4,84951,Tns4,  MGI:2144377
TNXB,7148,Tnxb,  MGI:1932137
TOB1,10140,Tob1,  MGI:1349721
TOB2,10766,Tob2,  MGI:1888525
TOE1,114034,Toe1,  MGI:1915526
TOGARAM1,23116,Togaram1,  MGI:2684313
TOGARAM2,165186,Togaram2,  MGI:2443498
TOLLIP,54472,Tollip,  MGI:1891808
TOM1,10043,Tom1,  MGI:1338026
TOM1L1,10040,Tom1l1,  MGI:1919193
TOM1L2,146691,Tom1l2,  MGI:2443306
TOMM20,9804,Tomm20,  MGI:1915202
TOMM20L,387990,Tomm20l,  MGI:1922516
TOMM22,56993,Tomm22,  MGI:2450248
TOMM34,10953,Tomm34,  MGI:1914395
TOMM40,10452,Tomm40,  MGI:1858259
TOMM40L,84134,Tomm40l,  MGI:3589112
TOMM5,401505,Tomm5,  MGI:1915762
TOMM6,100188893,Tomm6,  MGI:1913369
TOMM7,54543,Tomm7,  MGI:1913419
TOMM70,9868,Tomm70a,  MGI:106295
TONSL,4796,Tonsl,  MGI:1919999
TOP1,7150,Top1,  MGI:98788
TOP1MT,116447,Top1mt,  MGI:1920210
TOP2A,7153,Top2a,  MGI:98790
TOP2B,7155,Top2b,  MGI:98791
TOP3A,7156,Top3a,  MGI:1197527
TOP3B,8940,Top3b,  MGI:1333803
TOPAZ1,375337,Topaz1,  MGI:3779933
TOPBP1,11073,Topbp1,  MGI:1920018
TOPORS,10210,Topors,  MGI:2146189
TOPORSLP,347281,Toporsl,  MGI:1915524
TOR1A,1861,Tor1a,  MGI:1353568
TOR1AIP1,26092,Tor1aip1,  MGI:3582693
TOR1AIP2,163590,Tor1aip2,  MGI:3582695
TOR1B,27348,Tor1b,  MGI:1353605
TOR2A,27433,Tor2a,  MGI:1353596
TOR3A,64222,Tor3a,  MGI:1353652
TOR4A,54863,Tor4a,  MGI:2442720
TOX,9760,Tox,  MGI:2181659
TOX2,84969,Tox2,  MGI:3611233
TOX3,27324,Tox3,  MGI:3039593
TOX4,9878,Tox4,  MGI:1915389
TP53,7157,Trp53,  MGI:98834
TP53BP1,7158,Trp53bp1,  MGI:1351320
TP53BP2,7159,Trp53bp2,  MGI:2138319
TP53COR1,102800311,Trp53cor1,  MGI:3801771
TP53I11,9537,Trp53i11,  MGI:2670995
TP53I13,90313,Trp53i13,  MGI:1915125
TP53INP1,94241,Trp53inp1,  MGI:1926609
TP53INP2,58476,Trp53inp2,  MGI:1915978
TP53RK,112858,Trp53rka,  MGI:1918294
TP53TG5,27296,Trp53tg5,  MGI:1920853
TP63,8626,Trp63,  MGI:1330810
TP73,7161,Trp73,  MGI:1336991
TPBG,7162,Tpbg,  MGI:1341264
TPBGL,100507050,Tpbgl,  MGI:3646425
TPCN1,53373,Tpcn1,  MGI:2182472
TPCN2,219931,Tpcn2,  MGI:2385297
TPD52,7163,Tpd52,  MGI:107749
TPD52L1,7164,Tpd52l1,  MGI:1298386
TPD52L2,7165,Tpd52l2,  MGI:1913564
TPD52L3,89882,Trpd52l3,  MGI:1913995
TPGS1,91978,Tpgs1,  MGI:106618
TPGS2,25941,Tpgs2,  MGI:1913898
TPH1,7166,Tph1,  MGI:98796
TPH2,121278,Tph2,  MGI:2651811
TPI1,7167,Tpi1,  MGI:98797
TPK1,27010,Tpk1,  MGI:1352500
TPM1,7168,Tpm1,  MGI:98809
TPM2,7169,Tpm2,  MGI:98810
TPM3,7170,Tpm3,  MGI:1890149
TPM4,7171,Tpm4,  MGI:2449202
TPMT,7172,Tpmt,  MGI:98812
TPO,7173,Tpo,  MGI:98813
TPP1,1200,Tpp1,  MGI:1336194
TPP2,7174,Tpp2,  MGI:102724
TPPP,11076,Tppp,  MGI:1920198
TPPP2,122664,Tppp2,  MGI:2684923
TPPP3,51673,Tppp3,  MGI:1915221
TPR,7175,Tpr,  MGI:1922066
TPRA1,131601,Tpra1,  MGI:1345190
TPRG1,285386,Tprg,  MGI:1918588
TPRG1L,127262,Tprgl,  MGI:1915058
TPRKB,51002,Tprkb,  MGI:1917036
TPRN,286262,Tprn,  MGI:2139535
TPSAB1,7177,Tpsb2,  MGI:96942
TPSB2,64499,Tpsb2,  MGI:96942
TPSG1,25823,Tpsg1,  MGI:1349391
TPST1,8460,Tpst1,  MGI:1298231
TPST2,8459,Tpst2,  MGI:1309516
TPT1,7178,Tpt1,  MGI:104890
TPTE2,93492,Tpte,  MGI:2446460
TPX2,22974,Tpx2,  MGI:1919369
TRA2A,29896,Tra2a,  MGI:1933972
TRA2B,6434,Tra2b,  MGI:106016
TRABD,80305,Trabd,  MGI:1915226
TRABD2B,388630,Trabd2b,  MGI:3650152
TRADD,8717,Tradd,  MGI:109200
TRAF1,7185,Traf1,  MGI:101836
TRAF2,7186,Traf2,  MGI:101835
TRAF3,7187,Traf3,  MGI:108041
TRAF3IP1,26146,Traf3ip1,  MGI:1921269
TRAF3IP2,10758,Traf3ip2,  MGI:2143599
TRAF3IP3,80342,Traf3ip3,  MGI:2441706
TRAF4,9618,Traf4,  MGI:1202880
TRAF5,7188,Traf5,  MGI:107548
TRAF6,7189,Traf6,  MGI:108072
TRAF7,84231,Traf7,  MGI:3042141
TRAFD1,10906,Trafd1,  MGI:1923551
TRAIP,10293,Traip,  MGI:1096377
TRAK1,22906,Trak1,  MGI:1914345
TRAK2,66008,Trak2,  MGI:1918077
TRAM1,23471,Tram1,  MGI:1919515
TRAM1L1,133022,Tram1l1,  MGI:2443503
TRAM2,9697,Tram2,  MGI:1924817
TRANK1,9881,Trank1,  MGI:1341834
TRAP1,10131,Trap1,  MGI:1915265
TRAPPC1,58485,Trappc1,  MGI:1098727
TRAPPC10,7109,Trappc10,  MGI:1336209
TRAPPC11,60684,Trappc11,  MGI:2444585
TRAPPC12,51112,Trappc12,  MGI:2445089
TRAPPC13,80006,Trappc13,  MGI:1914225
TRAPPC2,6399,Trappc2,  MGI:1913476
TRAPPC2L,51693,Trappc2l,  MGI:1916295
TRAPPC3,27095,Trappc3,  MGI:1351486
TRAPPC3L,100128327,Trappc3l,  MGI:3642034
TRAPPC4,51399,Trappc4,  MGI:1926211
TRAPPC5,126003,Trappc5,  MGI:1913932
TRAPPC6A,79090,Trappc6a,  MGI:1914341
TRAPPC6B,122553,Trappc6b,  MGI:1925482
TRAPPC8,22878,Trappc8,  MGI:2443008
TRAPPC9,83696,Trappc9,  MGI:1923760
TRARG1,286753,Trarg1,  MGI:3029307
TRAT1,50852,Trat1,  MGI:1924897
TRDMT1,1787,Trdmt1,  MGI:1274787
TRDN,10345,Trdn,  MGI:1924007
TREH,11181,Treh,  MGI:1926230
TREM1,54210,Trem1,  MGI:1930005
TREM2,54209,Trem2,  MGI:1913150
TREML1,340205,Treml1,  MGI:1918576
TREML2,79865,Treml2,  MGI:2147038
TREML4,285852,Treml4,  MGI:1923239
TRERF1,55809,Trerf1,  MGI:2442086
TREX1,11277,Trex1,  MGI:1328317
TREX2,11219,Trex2,  MGI:1346343
TRH,7200,Trh,  MGI:98823
TRHDE,29953,Trhde,  MGI:2384311
TRHR,7201,Trhr,  MGI:98824
TRIAP1,51499,Triap1,  MGI:1916326
TRIB1,10221,Trib1,  MGI:2443397
TRIB2,28951,Trib2,  MGI:2145021
TRIB3,57761,Trib3,  MGI:1345675
TRIL,9865,Tril,  MGI:1914123
TRIM10,10107,Trim10,  MGI:1338757
TRIM11,81559,Trim11,  MGI:2137355
TRIM13,10206,Trim13,  MGI:1913847
TRIM14,9830,Trim14,  MGI:1921985
TRIM15,89870,Trim15,  MGI:1916347
TRIM16,10626,Trim16,  MGI:2137356
TRIM17,51127,Trim17,  MGI:1861440
TRIM2,23321,Trim2,  MGI:1933163
TRIM21,6737,Trim21,  MGI:106657
TRIM23,373,Trim23,  MGI:1933161
TRIM24,8805,Trim24,  MGI:109275
TRIM25,7706,Trim25,  MGI:102749
TRIM26,7726,Trim26,  MGI:1337056
TRIM27,5987,Trim27,  MGI:97904
TRIM28,10155,Trim28,  MGI:109274
TRIM29,23650,Trim29,  MGI:1919419
TRIM3,10612,Trim3,  MGI:1860040
TRIM31,11074,Trim31,  MGI:2385051
TRIM32,22954,Trim32,  MGI:1917057
TRIM33,51592,Trim33,  MGI:2137357
TRIM34,53840,Trim34a,  MGI:2137359
TRIM34,53840,Trim34b,  MGI:4821264
TRIM35,23087,Trim35,  MGI:1914104
TRIM36,55521,Trim36,  MGI:106264
TRIM37,4591,Trim37,  MGI:2153072
TRIM38,10475,Trim38,  MGI:2684869
TRIM39,56658,Trim39,  MGI:1890659
TRIM40,135644,Trim40,  MGI:2684881
TRIM41,90933,Trim41,  MGI:2384814
TRIM42,287015,Trim42,  MGI:1926161
TRIM44,54765,Trim44,  MGI:1931835
TRIM45,80263,Trim45,  MGI:1918187
TRIM46,80128,Trim46,  MGI:2673000
TRIM47,91107,Trim47,  MGI:1917374
TRIM5,85363,Trim5,  MGI:3646853
TRIM50,135892,Trim50,  MGI:2664992
TRIM54,57159,Trim54,  MGI:1889623
TRIM55,84675,Trim55,  MGI:3036269
TRIM56,81844,Trim56,  MGI:2685298
TRIM58,25893,Trim58,  MGI:2684862
TRIM59,286827,Trim59,  MGI:1914199
TRIM6,117854,Trim6,  MGI:2137352
TRIM60,166655,Trim60,  MGI:2387430
TRIM61,391712,Trim61,  MGI:2387432
TRIM62,55223,Trim62,  MGI:1914775
TRIM63,84676,Trim63,  MGI:2447992
TRIM65,201292,Trim65,  MGI:2442815
TRIM66,9866,Trim66,  MGI:2152406
TRIM67,440730,Trim67,  MGI:3045323
TRIM68,55128,Trim68,  MGI:2142077
TRIM69,140691,Trim69,  MGI:1918178
TRIM7,81786,Trim7,  MGI:2137353
TRIM71,131405,Trim71,  MGI:2685973
TRIM72,493829,Trim72,  MGI:3612190
TRIM8,81603,Trim8,  MGI:1933302
TRIM80P,106480328,Trim80,  MGI:3588186
TRIM9,114088,Trim9,  MGI:2137354
TRIML1,339976,Triml1,  MGI:2687279
TRIML2,205860,Triml2,  MGI:3642989
TRIO,7204,Trio,  MGI:1927230
TRIOBP,11078,Triobp,  MGI:1349410
TRIP10,9322,Trip10,  MGI:2146901
TRIP11,9321,Trip11,  MGI:1924393
TRIP12,9320,Trip12,  MGI:1309481
TRIP13,9319,Trip13,  MGI:1916966
TRIP4,9325,Trip4,  MGI:1928469
TRIP6,7205,Trip6,  MGI:1343458
TRIQK,286144,Triqk,  MGI:3650048
TRIR,79002,Trir,  MGI:1922833
TRIT1,54802,Trit1,  MGI:1914216
TRMO,51531,Trmo,  MGI:1922003
TRMT1,55621,Trmt1,  MGI:1289155
TRMT10A,93587,Trmt10a,  MGI:1920421
TRMT10B,158234,Trmt10b,  MGI:1917184
TRMT10C,54931,Trmt10c,  MGI:1196261
TRMT11,60487,Trmt11,  MGI:1920931
TRMT112,51504,Trmt112,  MGI:1914924
TRMT12,55039,Trmt12,  MGI:1915510
TRMT13,54482,Trmt13,  MGI:1925219
TRMT1L,81627,Trmt1l,  MGI:1916185
TRMT2A,27037,Trmt2a,  MGI:96270
TRMT2B,79979,Trmt2b,  MGI:2442530
TRMT44,152992,Trmt44,  MGI:1926140
TRMT5,57570,Trmt5,  MGI:1923607
TRMT6,51605,Trmt6,  MGI:1914176
TRMT61A,115708,Trmt61a,  MGI:2443487
TRMT9B,57604,Trmt9b,  MGI:2442328
TRMU,55687,Trmu,  MGI:1919276
TRNA,4553,mt-Ta,  MGI:102491
TRNAU1AP,54952,Trnau1ap,  MGI:1919037
TRNC,4511,mt-Tc,  MGI:102490
TRND,4555,mt-Td,  MGI:102489
TRNE,4556,mt-Te,  MGI:102488
TRNF,4558,mt-Tf,  MGI:102487
TRNG,4563,mt-Tg,  MGI:102486
TRNH,4564,mt-Th,  MGI:102485
TRNI,4565,mt-Ti,  MGI:102484
TRNK,4566,mt-Tk,  MGI:102483
TRNL1,4567,mt-Tl1,  MGI:102482
TRNL2,4568,mt-Tl2,  MGI:102481
TRNM,4569,mt-Tm,  MGI:102480
TRNN,4570,mt-Tn,  MGI:102479
TRNP,4571,mt-Tp,  MGI:102478
TRNP1,388610,Trnp1,  MGI:1916789
TRNQ,4572,mt-Tq,  MGI:102477
TRNR,4573,mt-Tr,  MGI:102476
TRNS1,4574,mt-Ts1,  MGI:102475
TRNS2,4575,mt-Ts2,  MGI:102474
TRNT,4576,mt-Tt,  MGI:102473
TRNT1,51095,Trnt1,  MGI:1917297
TRNV,4577,mt-Tv,  MGI:102472
TRNW,4578,mt-Tw,  MGI:102471
TRNY,4579,mt-Ty,  MGI:102470
TRO,7216,Tro,  MGI:1928994
TROAP,10024,Troap,  MGI:1925983
TRPA1,8989,Trpa1,  MGI:3522699
TRPC1,7220,Trpc1,  MGI:109528
TRPC2,7221,Trpc2,  MGI:109527
TRPC3,7222,Trpc3,  MGI:109526
TRPC4,7223,Trpc4,  MGI:109525
TRPC4AP,26133,Trpc4ap,  MGI:1930751
TRPC5,7224,Trpc5,  MGI:109524
TRPC5OS,100329135,Trpc5os,  MGI:3641805
TRPC6,7225,Trpc6,  MGI:109523
TRPC7,57113,Trpc7,  MGI:1349470
TRPM1,4308,Trpm1,  MGI:1330305
TRPM2,7226,Trpm2,  MGI:1351901
TRPM3,80036,Trpm3,  MGI:2443101
TRPM4,54795,Trpm4,  MGI:1915917
TRPM5,29850,Trpm5,  MGI:1861718
TRPM6,140803,Trpm6,  MGI:2675603
TRPM7,54822,Trpm7,  MGI:1929996
TRPM8,79054,Trpm8,  MGI:2181435
TRPS1,7227,Trps1,  MGI:1927616
TRPT1,83707,Trpt1,  MGI:1333115
TRPV1,7442,Trpv1,  MGI:1341787
TRPV2,51393,Trpv2,  MGI:1341836
TRPV3,162514,Trpv3,  MGI:2181407
TRPV4,59341,Trpv4,  MGI:1926945
TRPV5,56302,Trpv5,  MGI:2429764
TRPV6,55503,Trpv6,  MGI:1927259
TRRAP,8295,Trrap,  MGI:2153272
TRUB1,142940,Trub1,  MGI:1919383
TRUB2,26995,Trub2,  MGI:2442186
TSACC,128229,Tsacc,  MGI:1924177
TSBP1,10665,BC051142,  MGI:3039565
TSC1,7248,Tsc1,  MGI:1929183
TSC2,7249,Tsc2,  MGI:102548
TSC22D1,8848,Tsc22d1,  MGI:109127
TSC22D2,9819,Tsc22d2,  MGI:1919283
TSC22D3,1831,Tsc22d3,  MGI:1196284
TSC22D4,81628,Tsc22d4,  MGI:1926079
TSEN15,116461,Tsen15,  MGI:1913887
TSEN2,80746,Tsen2,  MGI:2141599
TSEN34,79042,Tsen34,  MGI:1913328
TSEN54,283989,Tsen54,  MGI:1923515
TSFM,10102,Tsfm,  MGI:1913649
TSG101,7251,Tsg101,  MGI:106581
TSGA10,80705,Tsga10,  MGI:2685063
TSGA10IP,254187,Tsga10ip,  MGI:1925556
TSGA13,114960,Tsga13,  MGI:1891413
TSHB,7252,Tshb,  MGI:98848
TSHR,7253,Tshr,  MGI:98849
TSHZ1,10194,Tshz1,  MGI:1346031
TSHZ2,128553,Tshz2,  MGI:2153084
TSHZ3,57616,Tshz3,  MGI:2442819
TSIX,9383,Tsix,  MGI:1336196
TSKS,60385,Tsks,  MGI:1347560
TSKU,25987,Tsku,  MGI:2443855
TSLP,85480,Tslp,  MGI:1855696
TSN,7247,Tsn,  MGI:109263
TSNAX,7257,Tsnax,  MGI:1855672
TSNAXIP1,55815,Tsnaxip1,  MGI:1919486
TSPAN1,10103,Tspan1,  MGI:1914055
TSPAN10,83882,Tspan10,  MGI:2384781
TSPAN11,441631,Tspan11,  MGI:1915748
TSPAN12,23554,Tspan12,  MGI:1889818
TSPAN13,27075,Tspan13,  MGI:1913359
TSPAN14,81619,Tspan14,  MGI:1196325
TSPAN15,23555,Tspan15,  MGI:1917673
TSPAN17,26262,Tspan17,  MGI:1921507
TSPAN18,90139,Tspan18,  MGI:1917186
TSPAN2,10100,Tspan2,  MGI:1917997
TSPAN3,10099,Tspan3,  MGI:1928098
TSPAN31,6302,Tspan31,  MGI:1914375
TSPAN32,10077,Tspan32,  MGI:1350360
TSPAN33,340348,Tspan33,  MGI:1919012
TSPAN4,7106,Tspan4,  MGI:1928097
TSPAN5,10098,Tspan5,  MGI:1928096
TSPAN6,7105,Tspan6,  MGI:1926264
TSPAN7,7102,Tspan7,  MGI:1298407
TSPAN8,7103,Tspan8,  MGI:2384918
TSPAN9,10867,Tspan9,  MGI:1924558
TSPEAR,54084,Tspear,  MGI:2671932
TSPO,706,Tspo,  MGI:88222
TSPO2,222642,Tspo2,  MGI:1917276
TSPOAP1,9256,Tspoap1,  MGI:2450877
TSPYL1,7259,Tspyl1,  MGI:1298395
TSPYL2,64061,Tspyl2,  MGI:106244
TSPYL4,23270,Tspyl4,  MGI:106393
TSPYL5,85453,Tspyl5,  MGI:2442458
TSR1,55720,Tsr1,  MGI:2144566
TSR2,90121,Tsr2,  MGI:1916749
TSR3,115939,Tsr3,  MGI:1915577
TSSC4,10078,Tssc4,  MGI:1861712
TSSK1A,23752,Tssk1,  MGI:1347557
TSSK2,23617,Tssk2,  MGI:1347559
TSSK3,81629,Tssk3,  MGI:1929914
TSSK4,283629,Tssk4,  MGI:1918349
TSSK5P,648630,Tssk5,  MGI:1920792
TSSK6,83983,Tssk6,  MGI:2148775
TST,7263,Tst,  MGI:98852
TSTA3,7264,Tsta3,  MGI:98857
TSTD1,100131187,Tstd1,  MGI:3648482
TSTD2,158427,Tstd2,  MGI:3039624
TSTD3,100130890,Tstd3,  MGI:1924282
TTBK1,84630,Ttbk1,  MGI:2147036
TTBK2,146057,Ttbk2,  MGI:2155779
TTC1,7265,Ttc1,  MGI:1914077
TTC12,54970,Ttc12,  MGI:2444588
TTC13,79573,Ttc13,  MGI:2384573
TTC14,151613,Ttc14,  MGI:1914370
TTC16,158248,Ttc16,  MGI:2443048
TTC17,55761,Ttc17,  MGI:1921819
TTC19,54902,Ttc19,  MGI:1920045
TTC21A,199223,Ttc21a,  MGI:1921302
TTC21B,79809,Ttc21b,  MGI:1920918
TTC22,55001,Ttc22,  MGI:3045307
TTC23,64927,Ttc23,  MGI:1914259
TTC23L,153657,Ttc23l,  MGI:1923027
TTC24,164118,Ttc24,  MGI:2443841
TTC25,83538,Ttc25,  MGI:1921657
TTC26,79989,Ttc26,  MGI:2444853
TTC27,55622,Ttc27,  MGI:1921446
TTC28,23331,Ttc28,  MGI:2140873
TTC29,83894,Ttc29,  MGI:1920551
TTC3,7267,Ttc3,  MGI:1276539
TTC30A,92104,Ttc30a1,  MGI:1926052
TTC30A,92104,Ttc30a2,  MGI:3700200
TTC30B,150737,Ttc30b,  MGI:1919671
TTC32,130502,Ttc32,  MGI:1922766
TTC33,23548,Ttc33,  MGI:1914765
TTC34,100287898,Ttc34,  MGI:2445205
TTC36,143941,Ttc36,  MGI:2384760
TTC37,9652,Ttc37,  MGI:2679923
TTC38,55020,Ttc38,  MGI:2146198
TTC39A,22996,Ttc39a,  MGI:2444350
TTC39B,158219,Ttc39b,  MGI:1917113
TTC39C,125488,Ttc39c,  MGI:1919997
TTC39DP,646640,Ttc39d,  MGI:1914987
TTC4,7268,Ttc4,  MGI:1919604
TTC41P,253724,Ttc41,  MGI:2387653
TTC5,91875,Ttc5,  MGI:2683584
TTC6,319089,Ttc6,  MGI:2684915
TTC7A,57217,Ttc7,  MGI:1920999
TTC7B,145567,Ttc7b,  MGI:2144724
TTC8,123016,Ttc8,  MGI:1923510
TTC9,23508,Ttc9,  MGI:1916730
TTC9B,148014,Ttc9b,  MGI:1920282
TTC9C,283237,Ttc9c,  MGI:1917637
TTF1,7270,Ttf1,  MGI:105044
TTF2,8458,Ttf2,  MGI:1921294
TTI1,9675,Tti1,  MGI:1922675
TTI2,80185,Tti2,  MGI:2384576
TTK,7272,Ttk,  MGI:1194921
TTL,150465,Ttl,  MGI:1916987
TTLL1,25809,Ttll1,  MGI:2443047
TTLL10,254173,Ttll10,  MGI:1921855
TTLL11,158135,Ttll11,  MGI:1921660
TTLL12,23170,Ttll12,  MGI:3039573
TTLL13P,440307,Ttll13,  MGI:1920845
TTLL2,83887,Ttll2,  MGI:3644030
TTLL3,26140,Ttll3,  MGI:2141418
TTLL4,9654,Ttll4,  MGI:1914784
TTLL5,23093,Ttll5,  MGI:2443657
TTLL6,284076,Ttll6,  MGI:2683461
TTLL7,79739,Ttll7,  MGI:1918142
TTLL8,164714,Ttll8,  MGI:1922902
TTLL9,164395,Ttll9,  MGI:1913589
TTN,7273,Ttn,  MGI:98864
TTPA,7274,Ttpa,  MGI:1354168
TTPAL,79183,Ttpal,  MGI:1923330
TTR,7276,Ttr,  MGI:98865
TTYH1,57348,Ttyh1,  MGI:1889007
TTYH2,94015,Ttyh2,  MGI:2157091
TTYH3,80727,Ttyh3,  MGI:1925589
